Date,Australia Target Cash Rate. Units: Per cent per annum; Series ID: FOOIRATCR
31/12/20,0.1
30/9/20,0.25
30/6/20,0.25
31/3/20,0.25
31/12/19,0.75
30/9/19,1
30/6/19,1.25
31/3/19,1.5
31/12/18,1.5
30/9/18,1.5
30/6/18,1.5
31/3/18,1.5
31/12/17,1.5
30/9/17,1.5
30/6/17,1.5
31/3/17,1.5
31/12/16,1.5
30/9/16,1.5
30/6/16,1.75
31/3/16,2
31/12/15,2
30/9/15,2
30/6/15,2
31/3/15,2.25
31/12/14,2.5
30/9/14,2.5
30/6/14,2.5
31/3/14,2.5
31/12/13,2.5
30/9/13,2.5
30/6/13,2.75
31/3/13,3
31/12/12,3
30/9/12,3.5
30/6/12,3.5
31/3/12,4.25
31/12/11,4.25
30/9/11,4.75
30/6/11,4.75
31/3/11,4.75
31/12/10,4.75
30/9/10,4.5
30/6/10,4.5
31/3/10,4
31/12/09,3.75
30/9/09,3
30/6/09,3
31/3/09,3.25
31/12/08,4.25
30/9/08,7
30/6/08,7.25
31/3/08,7.25
31/12/07,6.75
30/9/07,6.5
30/6/07,6.25
31/3/07,6.25
31/12/06,6.25
30/9/06,6
30/6/06,5.75
31/3/06,5.5
31/12/05,5.5
30/9/05,5.5
30/6/05,5.5
31/3/05,5.5